Name,QTY,Cost(AUD),Cost(USD),Link
Horizontal Rotary Encoder,2,$4.90,,https://www.aliexpress.com/item/1005006128388016.html?spm=a2g0o.productlist.main.6.68807HYA7HYAsY&algo_pvid=b1d8a2b1-697b-4cdf-a5ac-84e7fe9106d6&algo_exp_id=b1d8a2b1-697b-4cdf-a5ac-84e7fe9106d6-5&pdp_ext_f=%7B%22order%22%3A%2261%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21AUD%213.00%213.00%21%21%211.93%211.93%21%40210318e817520645594814154ebb46%2112000035886812807%21sea%21AU%216138339337%21X&curPageLogUid=BApYx7Hqtu0n&utparam-url=scene%3Asearch%7Cquery_from%3A
T-plug connector,1,$2.61,,https://www.aliexpress.com/item/4001212535096.html?spm=a2g0o.detail.0.0.1a35IjAXIjAXdN&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.61%21AUD%202.61%21%21AUD%202.61%21%21%21%40210318e817520646010564484ebb6d%2110000015320231372%21ct%21AU%216138339337%21%211%210
10 gauge wire,2m,$15.45,,https://www.aliexpress.com/item/1005007759043423.html?spm=a2g0o.detail.0.0.7927Shi1Shi1fd&mp=1&pdp_npi=5%40dis%21AUD%21AUD%2028.91%21AUD%2015.42%21%21AUD%2015.42%21%21%21%402103273e17540187523768582eab2f%2112000042200258296%21ct%21AU%216138339337%21%211%210
3.7V lipo,1,$14.99,,https://www.amazon.com.au/gp/product/B09R7F1VV5/ref=sw_img_1?smid=A12788XRWB37UE&th=1
XH 2.54 Male connector,1,$1.79,,https://www.aliexpress.com/item/1005007460897865.html?spm=a2g0o.productlist.main.3.64b0209u209ugB&algo_pvid=b5ea3270-3fea-44d1-ac17-8cbea19e97f6&algo_exp_id=b5ea3270-3fea-44d1-ac17-8cbea19e97f6-2&pdp_ext_f=%7B%22order%22%3A%226726%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21AUD%211.79%211.79%21%21%211.15%211.15%21%402101d9ee17520717044885071e1aac%2112000040853255020%21sea%21AU%216138339337%21X&curPageLogUid=cFIm27cGLruP&utparam-url=scene%3Asearch%7Cquery_from%3A
6mm switch,2,$2.89,,https://www.aliexpress.com/item/1005004971266223.html?spm=a2g0o.cart.0.0.68dc38datwPIHU&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.89%21AUD%202.89%21%21AUD%202.83%21%21%21%402103277f17520760612977156e2f93%2112000031200483146%21ct%21AU%216138339337%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Hardened Springs,4,,,sourced from my dad
1kg PLA,1,,,
1kg PETG,1,,, Converter,1,$4.83,,https://www.aliexpress.com/item/1005008447199869.html?spm=a2g0o.cart.0.0.440338daUp0LxT&mp=1&pdp_npi=5%40dis%21AUD%21AUD%205.10%21AUD%204.83%21%21AUD%204.83%21%21%21%402101e9ec17530288048031105ed1c8%2112000045180678408%21ct%21AU%216138339337%21%211%210
SSD1306 128x64 OLED Display,1,$4.20,,https://www.aliexpress.com/item/1005009243034318.html?spm=a2g0o.cart.0.0.440338daUp0LxT&mp=1&pdp_npi=5%40dis%21AUD%21AUD%209.33%21AUD%204.20%21%21AUD%204.20%21%21%21%402101e9ec17530288048031105ed1c8%2112000048446306499%21ct%21AU%216138339337%21%211%210
TOTAL,,$246.03,$161.03,
